City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Qasigiannguit,GL,68.8193,-51.1922,61.05,59,2,7.05,clear sky
270,Suntar,RU,62.1444,117.6319,67.21,48,100,7.65,overcast clouds
271,Portland,US,45.5234,-122.6762,97.95,38,20,1.01,few clouds
272,Palmer,US,42.1584,-72.3287,73.44,68,75,5.99,broken clouds
273,San Patricio,US,28.017,-97.5169,93.88,55,99,16.67,overcast clouds
274,Kieta,PG,-6.2167,155.6333,82.31,74,8,1.9,light rain
275,North Platte,US,41.1239,-100.7654,85.01,33,20,4.0,few clouds
276,Belyy,RU,55.8402,32.9419,62.91,64,100,2.84,overcast clouds
277,Longyearbyen,SJ,78.2186,15.6401,42.35,85,99,6.73,overcast clouds
278,Ribeira Grande,PT,38.5167,-28.7,73.18,94,63,13.49,broken clouds
279,Awbari,LY,26.5921,12.7805,88.09,11,0,4.63,clear sky
280,Surt,LY,31.2089,16.5887,82.27,69,0,7.85,clear sky
281,Shingu,JP,33.7333,135.9833,83.91,77,68,3.94,broken clouds
282,Saint-Pierre,RE,-21.3393,55.4781,67.64,65,36,6.91,scattered clouds
283,Hay River,CA,60.8156,-115.7999,79.16,38,17,8.61,few clouds
284,Kintampo,GH,8.0563,-1.7306,70.29,94,53,4.36,broken clouds
285,Inverell,AU,-29.7833,151.1167,63.16,71,13,3.0,few clouds
286,Harper,LR,4.375,-7.7169,76.55,77,87,6.26,overcast clouds
287,Savannah Bight,HN,16.45,-85.85,87.85,80,42,18.57,scattered clouds
288,Yulin,CN,22.6333,110.15,77.04,95,100,1.39,light rain
289,Mitchell,US,43.7094,-98.0298,80.58,41,1,6.91,clear sky
290,Upernavik,GL,72.7868,-56.1549,42.69,80,20,11.59,few clouds
291,La Rioja,ES,42.25,-2.5,54.05,87,22,4.34,few clouds
292,Bereda,ES,43.2686,-7.5406,61.0,100,88,2.55,overcast clouds
293,Tullahoma,US,35.362,-86.2094,81.18,72,1,1.01,clear sky
294,La Palma,US,33.8464,-118.0467,106.32,47,1,5.99,clear sky
295,Manzhouli,CN,49.6,117.4333,61.74,66,10,6.53,clear sky
296,Hasaki,JP,35.7333,140.8333,84.29,82,11,6.49,few clouds
297,Penzance,GB,50.1186,-5.5371,56.41,78,43,9.82,scattered clouds
298,Saint-Louis,SN,16.3333,-15.0,87.98,50,65,11.21,broken clouds
299,Green Valley,US,31.8543,-110.9937,99.14,48,80,8.28,broken clouds
300,Novikovo,RU,51.1537,37.8879,71.24,58,11,4.21,few clouds
301,Vlasim,CZ,49.7063,14.8988,61.02,87,100,10.45,overcast clouds
302,Dakar,SN,14.6937,-17.4441,81.48,78,94,1.43,overcast clouds
303,Katakwi,UG,1.8911,33.9661,67.68,71,100,1.36,overcast clouds
304,Otane,NZ,-39.8833,176.6333,55.0,60,37,1.12,scattered clouds
305,Eyl,SO,7.9803,49.8164,81.39,65,45,30.4,scattered clouds
306,Leningradskiy,RU,69.3833,178.4167,34.86,97,100,18.45,light rain
307,Abu Samrah,SY,35.3029,37.1841,79.07,44,0,7.85,clear sky
308,Nyuksenitsa,RU,60.4128,44.2397,58.5,98,85,6.76,overcast clouds
309,Narrabri,AU,-30.3167,149.7833,56.52,79,0,1.99,clear sky
310,Progreso,MX,21.2833,-89.6667,87.12,82,56,11.18,broken clouds
311,Ambilobe,MG,-13.2,49.05,67.42,81,7,2.71,clear sky
312,Guadalajara,MX,20.6667,-103.3333,84.42,41,75,8.05,broken clouds
313,Talnakh,RU,69.4865,88.3972,56.53,87,100,4.45,overcast clouds
314,Wladyslawowo,PL,54.7909,18.4009,62.94,89,98,8.61,overcast clouds
315,Solnechnyy,RU,50.7214,136.6319,62.33,76,99,3.8,overcast clouds
316,Maceio,BR,-9.6658,-35.7353,72.84,83,75,5.75,broken clouds
317,Tambura,SS,5.6,27.4667,67.75,99,100,2.26,moderate rain
318,Taunggyi,MM,20.7833,97.0333,63.1,97,100,3.44,overcast clouds
319,Flinders,AU,-34.5833,150.8552,52.81,90,7,1.01,clear sky
320,Watsa,CD,3.0372,29.5355,63.09,99,99,3.69,light rain
321,Mahebourg,MU,-20.4081,57.7,68.29,88,75,6.91,broken clouds
322,Mizdah,LY,31.4451,12.9801,84.34,17,0,6.33,clear sky
323,Ostrovnoy,RU,68.0531,39.5131,48.74,89,26,8.61,scattered clouds
324,San Miguel,SV,13.4833,-88.1833,91.98,53,87,1.99,overcast clouds
325,Horasan,TR,40.0458,42.1728,59.34,81,87,3.15,overcast clouds
326,Mount Gambier,AU,-37.8333,140.7667,46.29,81,23,12.35,few clouds
327,Lompoc,US,34.6391,-120.4579,90.12,62,1,10.0,clear sky
328,Green River,US,41.5286,-109.4662,78.19,32,100,4.81,overcast clouds
329,Aqtobe,KZ,50.2797,57.2072,66.29,72,0,0.0,clear sky
330,Dikson,RU,73.5069,80.5464,40.12,99,98,9.08,overcast clouds
331,Sterling,US,39.0062,-77.4286,83.32,77,20,5.01,few clouds
332,Yala,TH,6.3333,101.25,73.56,98,96,3.04,overcast clouds
333,Yar-Sale,RU,66.8333,70.8333,54.81,97,100,16.06,light rain
334,Cabedelo,BR,-6.9811,-34.8339,74.07,78,4,17.56,clear sky
335,Alofi,NU,-19.0595,-169.9187,80.49,61,68,20.71,broken clouds
336,Krasnoselkup,RU,65.7,82.4667,55.17,80,92,7.49,overcast clouds
337,Chapais,CA,49.7834,-74.8492,60.58,69,98,6.76,overcast clouds
338,Sale,MA,34.0389,-6.8166,66.74,88,4,0.0,clear sky
339,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,59,0,8.95,clear sky
340,Laguna,US,38.421,-121.4238,107.2,26,1,7.0,clear sky
341,Swan Hill,AU,-35.3378,143.5544,48.6,66,0,11.18,clear sky
342,Port Moresby,PG,-9.4431,147.1797,77.11,66,39,7.23,scattered clouds
343,Basco,PH,20.4487,121.9702,82.42,87,97,26.53,heavy intensity rain
344,Berlevag,NO,70.8578,29.0864,45.88,94,100,18.7,light rain
345,Lerwick,GB,60.1545,-1.1494,50.0,80,100,13.06,overcast clouds
346,Milyutinskaya,RU,48.6279,41.6679,72.52,53,1,7.74,clear sky
347,Kyakhta,RU,50.3508,106.4494,61.61,76,100,4.18,overcast clouds
