City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
670,Severnyy,RU,75.24,clear sky,50.677,36.5532,Full House North Mini-Hotel
672,Sitamarhi,IN,78.82,overcast clouds,26.6,85.4833,SPOT ON 60056 Hotel Shiv Surya
674,Los Arabos,CU,84.16,broken clouds,22.7281,-80.7214,Motel Los Pinos
677,Chabahar,IR,82.99,scattered clouds,25.2919,60.643,هتل گدروشیا
680,Iracoubo,GF,79.14,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
687,Tecoanapa,MX,86.58,broken clouds,16.5167,-98.75,Hotel Manglares
690,Panorama,GR,81.52,clear sky,40.5878,23.0315,Panorama Hotel
691,Shaoxing,CN,84.15,light rain,30.011,120.5715,Holiday Inn Shaoxing
694,Uribia,CO,88.29,clear sky,11.7139,-72.266,Hotel Uribia
696,Pemangkat,ID,78.89,overcast clouds,1.1667,108.9667,Ramah Kost KITA
